/A X,/A Y,/nand_AB X,/nand_AB Y,/nand_1B X,/nand_1B Y,/nand_A1 X,/nand_A1 Y
1.520000000000001,1.520000000000001,1.520000000000001,2.911324060365753e-05,1.520000000000001,1.378469329970193e-05,1.520000000000001,1.378468106962785e-05
1.530000000000001,1.530000000000001,1.530000000000001,2.225374074677304e-05,1.530000000000001,1.056502393990234e-05,1.530000000000001,1.056501709245222e-05
1.540000000000001,1.540000000000001,1.540000000000001,1.699541447515435e-05,1.540000000000001,8.090501936726539e-06,1.540000000000001,8.090498114157687e-06
1.550000000000001,1.550000000000001,1.550000000000001,1.296949800285916e-05,1.550000000000001,6.191113921051615e-06,1.550000000000001,6.1911117931985e-06
1.560000000000001,1.560000000000001,1.560000000000001,9.890541769645622e-06,1.560000000000001,4.734855378275144e-06,1.560000000000001,4.734854196818767e-06
1.570000000000001,1.570000000000001,1.570000000000001,7.538110390586689e-06,1.570000000000001,3.619483893250755e-06,1.570000000000001,3.61948323895558e-06
1.580000000000001,1.580000000000001,1.580000000000001,5.742333212003836e-06,1.580000000000001,2.765981328644157e-06,1.580000000000001,2.765980967147354e-06
1.590000000000001,1.590000000000001,1.590000000000001,4.372549732692791e-06,1.590000000000001,2.113396545944654e-06,1.590000000000001,2.113396346767303e-06
1.600000000000001,1.600000000000001,1.600000000000001,3.32842489610778e-06,1.600000000000001,1.614795110266234e-06,1.600000000000001,1.614795000722646e-06
1.610000000000001,1.610000000000001,1.610000000000001,2.533023139262242e-06,1.610000000000001,1.234090799473853e-06,1.610000000000001,1.234090739191275e-06
1.620000000000001,1.620000000000001,1.620000000000001,1.927427278758844e-06,1.620000000000001,9.435754912358642e-07,1.620000000000001,9.435754583300339e-07
1.630000000000001,1.630000000000001,1.630000000000001,1.46656986571596e-06,1.630000000000001,7.219993463038083e-07,1.630000000000001,7.219993282670584e-07
1.640000000000001,1.640000000000001,1.640000000000001,1.116012101291699e-06,1.640000000000001,5.530826747493612e-07,1.640000000000001,5.530826649233565e-07
1.650000000000001,1.650000000000001,1.650000000000001,8.494605217545711e-07,1.650000000000001,4.243651267064583e-07,1.650000000000001,4.243651213655837e-07
1.660000000000001,1.660000000000001,1.660000000000001,6.468562438365131e-07,1.660000000000001,3.263175716371211e-07,1.660000000000001,3.263175686762084e-07
1.670000000000001,1.670000000000001,1.670000000000001,4.929072956345375e-07,1.670000000000001,2.516579426780876e-07,1.670000000000001,2.516579410925503e-07
1.680000000000001,1.680000000000001,1.680000000000001,3.75962986239576e-07,1.680000000000001,1.94825036398599e-07,1.680000000000001,1.948250355640584e-07
1.690000000000001,1.690000000000001,1.690000000000001,2.871517455964208e-07,1.690000000000001,1.515743635017192e-07,1.690000000000001,1.515743629664225e-07
1.700000000000001,1.700000000000001,1.700000000000001,2.197215302925612e-07,1.700000000000001,1.186681197675258e-07,1.700000000000001,1.18668119449098e-07
1.710000000000001,1.710000000000001,1.710000000000001,1.685357166258051e-07,1.710000000000001,9.363761536805442e-08,1.710000000000001,9.363761530027982e-08
1.720000000000001,1.720000000000001,1.720000000000001,1.296881709495361e-07,1.720000000000001,7.460139980375998e-08,1.720000000000001,7.460139976051089e-08
1.730000000000001,1.730000000000001,1.730000000000001,1.002095567350466e-07,1.730000000000001,6.012614293315657e-08,1.730000000000001,6.012614292073828e-08
1.740000000000001,1.740000000000001,1.740000000000001,7.78434060753015e-08,1.740000000000001,4.912030070792233e-08,1.740000000000001,4.912030076132915e-08
1.750000000000001,1.750000000000001,1.750000000000001,6.087549264523363e-08,1.750000000000001,4.0752892695837e-08,1.750000000000001,4.075289266613528e-08
1.760000000000001,1.760000000000001,1.760000000000001,4.800388764579056e-08,1.760000000000001,3.4391499633809e-08,1.760000000000001,3.439149970146892e-08
1.770000000000001,1.770000000000001,1.770000000000001,3.824004865081944e-08,1.770000000000001,2.955495593687337e-08,1.770000000000001,2.955495588367005e-08
1.780000000000001,1.780000000000001,1.780000000000001,3.083356295772242e-08,1.780000000000001,2.587727365254384e-08,1.780000000000001,2.58772737077737e-08
1.790000000000001,1.790000000000001,1.790000000000001,2.52149107979813e-08,1.790000000000001,2.308014303954506e-08,1.790000000000001,2.308014303683346e-08
1.8,1.8,1.8,2.095200540854347e-08,1.8,2.095200543413517e-08,1.8,2.095200537535685e-08
